Institution_Name,UNITID,INSTNM,CONTROL,SECTOR,CITY,STABBR
University of North Carolina at Chapel Hill,199120,University of North Carolina at Chapel Hill,1,1,Chapel Hill,NC
University of New Mexico-Main Campus,187985,University of New Mexico-Main Campus,1,1,Albuquerque,NM
University of Oklahoma-Norman Campus,207500,University of Oklahoma-Norman Campus,1,1,Norman,OK
University of Virginia-Main Campus,234076,University of Virginia-Main Campus,1,1,Charlottesville,VA
The University of Tennessee-Knoxville,221759,The University of Tennessee-Knoxville,1,1,Knoxville,TN
University of Missouri-Columbia,178396,University of Missouri-Columbia,1,1,Columbia,MO
California Polytechnic State University-San Luis Obispo,110422,California Polytechnic State University-San Luis Obispo,1,1,San Luis Obispo,CA
Columbia University in the City of New York,190150,Columbia University in the City of New York,2,2,New York,NY
University of Pittsburgh-Pittsburgh Campus,215293,University of Pittsburgh-Pittsburgh Campus,1,1,Pittsburgh,PA
Institute of American Indian and Alaska Native Culture and Arts Development,187745,Institute of American Indian and Alaska Native Culture and Arts Development,1,1,Santa Fe,NM