university,type_1,type_2,region,Latitude,Longitude,"publishing_program (1=yes, 0=no)","press (1=yes, 0=no)",student_pop_size_2022_average,demogs_1_2022,demogs_2_2022,demogs_3_2022,student_pop_size_2012_average,demogs_1_2012,demogs_2_2012,demogs_3_2012,2012_revenue,2013_revenue,2014_revenue,2015_revenue,2016_revenue,2017_revenue,2018_revenue,2019_revenue,2020_revenue,2021_revenue,2022_revenue
College of Saint Benedict,Women's College,,Midwest,45.5785,-94.3963,1,0,13830,White,Hispanic/Latino,Asian,19710,White,Nonresident Alien,Asian,111359762,127586138,129073276,164473428,150293340,163137558,174287354,184366234,235453308,215451060,121219265
University of Oregon,R1,,West,44.0455,-123.0726,1,0,198928,White,Hispanic/Latino,Two or More Races,213484,White,Nonresident Alien,Hispanic/Latino,1008577962,1312424020,1525259292,1573078016,1406272574,1348985744,1360676022,1270366816,1356235618,1514551290,798208781
Pepperdine University,Private,,West,34.04,-118.709,1,1,60184,White,Hispanic/Latino,Asian,48598,White,Hispanic/Latino,Asian,1909138000,2183014000,1930500000,2137910000,2295460000,2533244000,2548114000,2755146000,3450218000,3449148000,1755696000
University of Texas at Austin,R1,HSI,South,30.2849,-97.7341,1,1,437856,White,Hispanic/Latino,Asian,429330,White,Hispanic/Latino,Asian,2788992588,3512183476,2945995954,3300366840,3408942028,3805801660,4082619888,4446578774,4792453638,5054325502,3317634788
University of Idaho,R2,,West,46.7253,-117.0002,1,0,88224,White,Hispanic/Latino,Nonresident Alien,101444,White,Hispanic/Latino,Nonresident Alien,280477993,264253036,305693664,319270266,310343988,285591418,318260524,311431852,365339354,337366316,162467965
Dartmouth College,R1,,Northeast,43.7044,-72.2887,1,1,51292,White,Nonresident Alien,Asian,47696,White,Asian,Nonresident Alien,7827580954,9322055612,9725872004,9337867350,10423701664,11375990710,11849358288,12315363414,17385278794,16473935632,8089512700
University of Colorado Boulder,R1,,West,40.0076,-105.2659,1,0,328596,White,Hispanic/Latino,Two or More Races,269576,White,Hispanic/Latino,Asian,2644790882,2745474068,2977911774,3040481380,3138278132,3295444464,3280707700,3396931176,3452009680,3990402586,2193503562
University of Alabama,R1,,South,33.2098,-87.5692,1,1,328858,White,Black or African American,Hispanic/Latino,286778,White,Black or African American,Nonresident Alien,1825096252,1939030116,2167810490,2051583612,2134420208,2141307100,2297593546,2502561560,2708770908,2705498762,1373123561
Clemson University,R1,,South,34.675,-82.8354,1,1,239688,White,Hispanic/Latino,Black or African American,174970,White,Black or African American,Nonresident Alien,1436084586,1471367102,1817900212,1849122794,1765546270,2015796442,2138415026,2197374018,2500659750,3223676112,1859913999
Oregon State University,R1,,West,44.5638,-123.2781,1,1,299580,White,Hispanic/Latino,Asian,226426,White,Nonresident Alien,Asian,767553346,1000935770,1086226480,1001589872,1025074012,1127379562,1441721494,1523995366,1501631034,1383116298,726167122
Arizona State University,R1,HSI,West,33.4219,-111.9332,1,0,54092,White,Hispanic/Latino,Asian,81782,White,Nonresident Alien,Hispanic/Latino,271538000,265032000,261484000,257260000,234258000,249734000,242240000,232014000,220468000,243618000,105882000
Wake Forest University,R2,Private,South,36.1355,-80.278,1,1,65790,White,Nonresident Alien,Hispanic/Latino,56094,White,Black or African American,Asian,2933932000,3233956000,3302130000,3439542000,3533506000,3853788000,4010370000,4010900000,5822758000,5664394000,3015177000
University of Pittsburgh-Pittsburgh Campus,R1,,Mid-Atlantic,40.4445,-79.9561,1,1,254944,White,Asian,Nonresident Alien,217074,White,Nonresident Alien,Asian,5988413450,7028365858,7220789070,7092915004,7940093948,8452659292,8685126810,8406948948,11360451772,11114028858,5518961334
Northeastern University,R1,Private,Northeast,42.3398,-71.0892,1,1,212306,White,Nonresident Alien,Asian,199684,White,Nonresident Alien,Race/Ethnicity Unknown,1422484000,1773426000,1747770000,1680542000,1953000000,2226340000,2546136000,2321438000,3370238000,3709464000,2058371000
"University of California, Irvine",R1,HSI,West,33.6405,-117.8443,1,0,304348,Asian,Hispanic/Latino,Nonresident Alien,233034,Asian,White,Hispanic/Latino,801712000,864234000,893980000,966510000,1046652000,1180856000,1263082000,1220640000,1169780000,1272732000,623028000
Duke University,R1,Private,South,36.0014,-78.9382,1,1,108162,White,Nonresident Alien,Asian,97398,White,Asian,Nonresident Alien,19911302000,22790329000,22456424000,21806852000,25404496000,27504288000,28093878000,29055738000,40675316000,38076860000,18275252000
Georgetown University,R1,Private,Mid-Atlantic,38.9076,-77.0723,1,1,125956,White,Nonresident Alien,Asian,110192,White,Nonresident Alien,Asian,2616680000,3161062000,3248790000,3075810000,3348254000,3569538000,3685782000,3989960000,5398622000,6455424000,3357274000
Michigan State University,R1,,Midwest,42.7018,-84.4822,1,1,414920,White,Asian,Nonresident Alien,401036,White,Nonresident Alien,Black or African American,2543281790,2640474378,2784408646,2729019270,2802800858,3007630538,3213991064,3469446382,3976095018,4923081662,2120498846
Tufts University,R1,Private,Northeast,42.4075,-71.119,1,0,90954,White,Asian,Nonresident Alien,72060,White,Asian,Race/Ethnicity Unknown,4002422216,4263530506,4215946746,3911692368,4489552220,4341660596,4410946446,4398104372,6098981076,5450641688,2760388178
Brandeis University,R2,Private,Northeast,42.3668,-71.2586,1,1,42424,White,Nonresident Alien,Asian,43048,White,Nonresident Alien,Race/Ethnicity Unknown,1611777680,1795796898,1900400268,1799835972,2022596074,2160389584,2214103438,2218621324,2653398344,2476888390,1250183030
Williams College,Liberal Arts,,Northeast,42.7128,-73.203,1,0,20624,White,Asian,Hispanic/Latino,19610,White,Hispanic/Latino,Asian,4128980422,4648297756,4927286472,4644776250,5153022854,5633220552,5907049864,5812452190,8488829558,7199014330,3553205446
Linfield University,Liberal Arts,,West,45.2101,-123.1987,1,0,16366,White,Hispanic/Latino,Two or More Races,15524,White,Two or More Races,Hispanic/Latino,229124756,269452486,265821570,265620824,288819796,268938672,250069058,238870190,324687950,247434522,124161810
University of Delaware,R1,,Mid-Atlantic,39.678,-75.7521,1,1,199968,White,Hispanic/Latino,Nonresident Alien,185312,White,Nonresident Alien,Hispanic/Latino,674978138,877942232,3565012904,3293187002,3730650204,3849505012,3666898888,3570102378,4645639826,4473219858,2242507655
University of Montana,R2,,West,46.8601,-113.984,1,1,78756,White,Two or More Races,Hispanic/Latino,129602,White,Two or More Races,Hispanic/Latino,334657582,303865116,289353096,268188580,270937560,301867718,316690060,474604668,461559568,462112550,287728379
"University of Nevada, Reno",R2,HSI,West,39.5443,-119.8164,1,1,174718,White,Hispanic/Latino,Two or More Races,156002,White,Hispanic/Latino,Asian,602711712,623583964,595774926,630368068,698967468,685025372,653336684,809214728,913382482,950161604,410429436
West Virginia University,R1,,Mid-Atlantic,39.6342,-79.9532,1,1,200744,White,Two or More Races,Hispanic/Latino,243380,White,Nonresident Alien,Black or African American,1059361436,1103111510,1143923772,1289718442,1286421456,1381482496,1420927324,1444000878,1492372926,1557469418,743714258
California Baptist University,Private,,West,33.8884,-117.437,1,0,92350,Hispanic/Latino,White,Black or African American,52030,White,Hispanic/Latino,Black or African American,32558534,36069626,36694990,38043432,50389792,58340760,76192394,83349562,114235688,144690132,90891462
University of South Florida ,R1,HSI,South,28.0587,-82.4139,1,0,407946,White,Hispanic/Latino,Nonresident Alien,341086,White,Hispanic/Latino,Black or African American,1360265480,1646721668,1852537402,1922623882,2152861266,2161278504,2062056104,2178679408,2354693712,2462998214,1367091221
Seattle University,Private,,West,47.6092,-122.3196,1,0,50700,White,Asian,Hispanic/Latino,55544,White,Asian,Nonresident Alien,393860454,456284904,411927596,388362060,436697004,468747862,479185182,490526244,641952614,594930816,310752095
Stetson University,Private,,South,29.0346,-81.3031,1,0,29570,White,Hispanic/Latino,Black or African American,29272,White,Hispanic/Latino,Black or African American,341497476,412106362,414824530,406112566,450480550,521085100,538652126,613024634,774324622,703777308,370101401
University of Wyoming,R2,,West,41.3145,-105.5731,1,1,91634,White,Hispanic/Latino,Race/Ethnicity Unknown,108948,White,Race/Ethnicity Unknown,Hispanic/Latino,836425972,783712620,822503276,889339598,853379822,879625438,1013028000,897752000,561030000,528170000,367472000
Seton Hall University,Private,,Mid-Atlantic,40.7428,-74.246,1,0,70988,White,Hispanic/Latino,Black or African American,68568,White,Hispanic/Latino,Black or African American,522168000,590102000,581594000,544618000,576734000,591826000,561654000,567118000,701382000,639662000,328637000
Drake University,Private,,Midwest,41.6019,-93.6523,1,0,34120,White,Hispanic/Latino,Black or African American,39354,White,Nonresident Alien,Black or African American,342990306,366487122,383237344,406025966,415536976,434687766,444950126,433803182,549047854,471519436,253088471
Hofstra University,Private,,Mid-Atlantic,40.7145,-73.6018,1,0,73956,White,Hispanic/Latino,Asian,82234,White,Hispanic/Latino,Black or African American,806847278,917475114,897063690,956835626,1169666134,1277111978,1324267262,1425037424,1850006300,1553468148,822866082
Loyola University Chicago,R2,Private,Midwest,41.9992,-87.6587,1,0,131308,White,Hispanic/Latino,Asian,116180,White,Hispanic/Latino,Asian,1005803110,1212142606,1205283088,1226748808,1348483592,1461910396,1600631366,1623467806,2144493788,2009429430,1149854251
Saint Louis University,R2,Private,Midwest,38.636,-90.2346,1,0,110342,White,Race/Ethnicity Unknown,Asian,124808,White,Asian,Black or African American,2299193080,2551146580,2452952390,2283084134,2443635752,2541381190,2499626322,2417127514,3059970146,2702476312,1761469703
University of Notre Dame,R1,Private,Midwest,41.7031,-86.2389,1,1,101956,White,Hispanic/Latino,Nonresident Alien,95290,White,Hispanic/Latino,Nonresident Alien,17018668000,20025904000,21399938000,21279350000,23979948000,26774694000,27998174000,29922784000,45691544000,42267160000,21209143000
University of Houston,R1,HSI,South,29.7199,-95.3422,1,0,399896,Hispanic/Latino,Asian,White,346788,White,Hispanic/Latino,Asian,1830870728,1901752470,2155486054,2200149664,2347514118,2468808720,2599632582,2879431398,3081039242,3365446774,1894108106
Washington University in St. Louis,R1,Private,Midwest,38.6488,-90.3108,1,0,111890,White,Nonresident Alien,Asian,93860,White,Asian,Nonresident Alien,13588298000,15495602000,15652506000,15062628000,16671514000,17770210000,18733156000,20950530640,32197650000,30379428000,13920906000
Marquette University,Private,,Midwest,43.039,-87.9284,1,1,84918,White,Hispanic/Latino,Asian,92198,White,Hispanic/Latino,Black or African American,962316000,1121012000,1180016000,1165336000,1338024000,1335660000,1466216000,1423646000,2143996000,2075024000,1078672000
St. John's College,Liberal Arts,,Northeast,38.9816,-76.4901,1,0,4676,White,Nonresident Alien,Hispanic/Latino,4494,White,Nonresident Alien,Hispanic/Latino,240969050,277907626,290322846,281424358,337816436,344219696,365137120,384223396,489541672,414030526,221865040
Creighton University,Private,,Midwest,41.2653,-95.9491,1,1,57156,White,Hispanic/Latino,Asian,53054,White,Asian,Hispanic/Latino,889164000,1151002000,1239888000,1229490000,1383708000,1497566000,1518664000,1483746000,2021654000,1916076000,1034371000
Catholic University of America,Private,,Mid-Atlantic,38.9368,-77.0008,1,1,36196,White,Hispanic/Latino,Black or African American,47488,White,Race/Ethnicity Unknown,Hispanic/Latino,646804000,703854000,747280000,733976000,785576000,813430000,833636000,804952000,969830000,978158000,458335000
Goucher College,Liberal Arts,,Mid-Atlantic,39.4104,-76.5928,1,0,12296,White,Black or African American,Race/Ethnicity Unknown,17028,White,Race/Ethnicity Unknown,Black or African American,417640000,475248000,472202000,435856000,461302000,449638000,417458000,402838000,531052000,497210000,247423000
Agnes Scott College,Women's College,,South,33.7683,-84.2934,1,0,9608,White,Black or African American,Hispanic/Latino,8170,White,Black or African American,Nonresident Alien,515879146,559913442,536589676,459164226,472444582,467964680,446148154,421861930,508620464,438614128,253269883
Furman University,Liberal Arts,,South,34.9245,-82.4388,1,0,22156,White,Black or African American,Hispanic/Latino,26700,White,Black or African American,Race/Ethnicity Unknown,1280331156,1406686314,1363462264,1369560636,1467913876,1525593994,1508484638,1469497596,1846869446,1787291558,882873561
Whitman College,Liberal Arts,,West,46.071,-118.329,1,0,14174,White,Nonresident Alien,Hispanic/Latino,14552,White,Asian,Hispanic/Latino,934100392,1045938014,1101977410,1005294980,1125824076,1201028224,1227069812,1259975818,1794972786,1403090792,766138407
"University of California, Santa Barbara",R1,,West,34.414,-119.8489,1,0,236342,White,Hispanic/Latino,Asian,192076,White,Hispanic/Latino,Asian,618164000,614408000,650026000,687304000,735560000,788364000,938258000,992592000,902386000,935216000,504964000
University of Alaska Fairbanks,R2,,West,64.8591,-147.8494,1,0,52370,White,American Indian or Alaska Native,Two or More Races,74118,White,Race/Ethnicity Unknown,American Indian or Alaska Native,216292312,241648846,293019154,258027886,304337964,352930748,308046890,306685070,327488104,323903298,156938169
University of Tampa,Private,,South,27.9476,-82.4649,1,1,96084,White,Hispanic/Latino,Race/Ethnicity Unknown,61390,White,Hispanic/Latino,Nonresident Alien,104878874,124999908,158955084,153776398,122061246,109848908,116788888,118803082,137648600,195215292,98620208
University of San Diego,Private,,West,32.7716,-117.189,1,0,66406,White,Hispanic/Latino,Asian,62662,White,Hispanic/Latino,Asian,814406000,1001584000,1030198000,1033532000,1170668000,1276080000,1325424000,1278660000,1667104000,1530580000,803517000
University of Indianapolis,Private,,Midwest,39.7089,-86.1356,1,0,40310,White,Black or African American,Nonresident Alien,45510,White,Black or African American,Nonresident Alien,172327774,197372286,194582414,181942528,193287062,216118678,212722560,209312290,254326448,225275590,110317561
University of Texas at El Paso,R2,HSI,South,31.773,-106.5055,1,0,208778,Hispanic/Latino,White,Nonresident Alien,199684,Hispanic/Latino,White,Nonresident Alien,436189270,533844984,516359454,533346498,597149158,627401588,642113928,639418906,734357380,717119338,395166005
University of Massachusetts Amherst,R1,,Northeast,42.3868,-72.5301,1,1,262964,White,Asian,Nonresident Alien,233234,White,Race/Ethnicity Unknown,Asian,972484000,1040194000,1145994000,1182896000,1279382000,1372698970,1401557848,1570734844,1545844114,1802010494,918110346
University of North Carolina Wilmington,R2,,South,34.2257,-77.8787,1,0,151060,White,Hispanic/Latino,Black or African American,123840,White,Hispanic/Latino,Black or African American,394808065,436316774,481940422,495130878,522174376,557398272,617273532,607098292,610599692,688191928,367572219
University of West Florida,R2,,South,30.5441,-87.2172,1,0,105524,White,Hispanic/Latino,Black or African American,107948,White,Black or African American,Hispanic/Latino,299731116,357095012,417426900,408289290,416428900,411003062,357915748,339341796,353332918,376449510,215148090
University of Missouri-Kansas City,R2,,Midwest,39.0336,-94.576,1,0,106756,White,Hispanic/Latino,Black or African American,116726,White,Black or African American,Race/Ethnicity Unknown,496242862,546340216,568844236,566848188,579565596,629276144,655840728,655289576,839620984,964601428,554818361
University of Hawaii at Hilo,R2,,West,19.6995,-155.0806,1,0,25834,Two or More Races,White,Hispanic/Latino,36458,Two or More Races,White,Asian,119015376,125553450,132190898,104777932,106291576,107163028,107450032,91522648,84964688,86766478,50463632
"University of California, Riverside",R1,HSI,West,33.9737,-117.3281,1,0,233280,Hispanic/Latino,Asian,White,186946,Asian,Hispanic/Latino,White,492908000,514518000,550140000,565490000,589780000,583132000,611612000,661714000,643690000,646220000,347695000
University of Massachusetts Lowell,R2,,Northeast,42.6526,-71.3246,1,0,137456,White,Asian,Hispanic/Latino,132590,White,Asian,Hispanic/Latino,414430000,464136000,520150000,514666000,556694000,571588000,559630000,597252000,671250000,648738000,304222000
University of North Alabama,R2,,South,34.8055,-87.6818,1,0,72532,White,Black or African American,Nonresident Alien,61060,White,Black or African American,Nonresident Alien,201455362,204553160,187780800,193561592,206420576,226891612,255820160,250067460,263991194,266740374,151824410
University of North Carolina Asheville,Liberal Arts,Public,South,35.6164,-82.5665,1,0,27682,White,Hispanic/Latino,Black or African American,34320,White,Hispanic/Latino,Race/Ethnicity Unknown,90653384,94518592,94021268,91736904,95948776,93216324,89024556,83190890,85441332,102641956,40597421
University of Texas Health Science Center at Houston,R1,,South,29.7092,-95.4018,1,0,24740,White,Asian,Hispanic/Latino,21334,White,Asian,Nonresident Alien,531849528,702367778,625483248,737153236,914235382,860003078,1127629908,1130025922,1412188750,1285777940,895815183
University of Texas Medical Branch at Galveston,R1,,South,29.3114,-94.7782,1,0,16954,White,Hispanic/Latino,Asian,16104,White,Hispanic/Latino,Asian,977192326,1169958236,717727614,818208590,962862000,935876978,943332252,932736754,1029388406,950037612,547782571
University of Texas MD Anderson Cancer Center,R1,,South,29.7088,-95.3976,1,0,3478,Hispanic/Latino,Asian,White,2900,White,Asian,Hispanic/Latino,2482722,2895842,2760386,3231136,4751226,2226972,3631840,3813408,3490662,3667718,1925396
New College of Florida,Liberal Arts,Public,South,27.3839,-82.557,1,0,6394,White,Hispanic/Latino,Two or More Races,7874,White,Hispanic/Latino,Two or More Races,37496014,36128572,49845416,37154042,33707038,38293610,38328718,49772762,48711024,42390402,32964972
Mississippi State University,R1,,South,33.454,-88.794,1,0,193088,White,Black or African American,Hispanic/Latino,174012,White,Black or African American,Nonresident Alien,521535630,548254296,630434638,697407474,728734304,821284834,935321732,1044826886,1207128612,1249049120,607424053
University of West Georgia,R2,,South,33.5731,-85.0962,1,0,93814,White,Black or African American,Hispanic/Latino,102030,White,Black or African American,Hispanic/Latino,223458828,221799662,219868018,241338856,258057336,284291616,291670470,283542980,290000410,317491436,144274832
University of Central Missouri,R2,,Midwest,38.7626,-93.736,1,0,82862,White,Nonresident Alien,Black or African American,99484,White,Race/Ethnicity Unknown,Black or African American,299170918,345160970,339463952,291541496,334451192,347996792,241102992,199585926,252406532,287850274,148076729
Bowie State University,HBCU,R2,Mid-Atlantic,39.02,-76.7744,1,0,54636,Black or African American,Hispanic/Latino,Two or More Races,46270,Black or African American,White,Hispanic/Latino,162702284,173200430,183999976,192895272,216240668,245898412,265147792,255567140,257379492,277996054,168792375
Eastern Michigan University,R2,,Midwest,42.2506,-83.6244,1,0,120076,White,Black or African American,Hispanic/Latino,200186,White,Black or African American,Race/Ethnicity Unknown,435389046,428844922,458897822,455450346,442610316,495630338,433567602,434739430,436878322,472860322,219447771
Sam Houston State University,R2,HSI,South,30.713,-95.5508,1,0,188338,White,Hispanic/Latino,Black or African American,162680,White,Hispanic/Latino,Black or African American,637622864,653033484,767424384,720083700,753328888,761410978,755580912,814311742,771942896,818660334,409864170
University of Northern Iowa,R2,,Midwest,42.5152,-92.4535,1,0,78662,White,Hispanic/Latino,Black or African American,109046,White,Nonresident Alien,Black or African American,338414508,330038832,345439474,439736332,403824790,436543310,458700610,455737780,474677940,428105778,214875549
Florida Gulf Coast University,R3,,South,26.4631,-81.773,1,0,141714,White,Hispanic/Latino,Black or African American,121064,White,Hispanic/Latino,Black or African American,241565460,274242822,320872166,312996854,338866660,378851530,407010840,404395332,433031746,438322756,191781444
Portland State University,R2,,West,45.511,-122.6846,1,1,174088,White,Hispanic/Latino,Asian,236362,White,Hispanic/Latino,Asian,523389012,619820202,632224028,622004386,669363106,668780562,758709082,812252932,746567496,708631960,295937568
East Tennessee State University,R2,,South,36.3038,-82.3699,1,0,110016,White,Race/Ethnicity Unknown,Black or African American,128214,White,Black or African American,Two or More Races,261020576,253584026,269226068,279396694,306780006,332913066,326135670,357548400,353939904,391641606,212614278
Indiana State University,R2,,Midwest,39.4693,-87.4081,1,0,73196,White,Black or African American,Hispanic/Latino,102544,White,Black or African American,Nonresident Alien,241577902,267492948,268831860,256666000,325558000,283966000,369692000,292522000,278200000,218566246,81405065
"California State University, Chico",R2,HSI,West,39.7285,-121.8375,1,0,130066,White,Hispanic/Latino,Asian,151708,White,Hispanic/Latino,Race/Ethnicity Unknown,378840310,397546202,449181988,373861896,350131624,340506580,351697664,413570170,462811514,451260452,223663195
University of Massachusetts Dartmouth,R2,,Northeast,41.6282,-71.0087,1,0,59548,White,Black or African American,Hispanic/Latino,78090,White,Black or African American,Hispanic/Latino,221958000,245752000,247568000,243746000,212638000,231422000,244290000,280962000,311134000,318436000,157469000
Montana Technological University,R2,,West,46.0152,-112.5263,1,0,14452,White,Race/Ethnicity Unknown,Hispanic/Latino,18660,White,Nonresident Alien,Race/Ethnicity Unknown,80806806,86651566,96716864,100587248,100452890,111784300,83334930,80687398,77808058,77478102,37798687
Western Carolina University,R2,,South,35.3095,-83.186,1,0,101824,White,Hispanic/Latino,Black or African American,82458,White,Black or African American,Hispanic/Latino,256884268,271361430,304506692,332882036,352447190,383198976,389779996,406694214,441964600,470077096,253144076
Fayetteville State University,HBCU,R2,South,35.0742,-78.8945,1,0,57944,Black or African American,White,Hispanic/Latino,53638,Black or African American,White,Race/Ethnicity Unknown,63154298,86521396,73883080,78196368,77435172,77138528,70746382,69982088,101012374,105141798,49808063
University of Wisconsin-Eau Claire,R2,,Midwest,44.7981,-91.4985,1,0,91546,White,Hispanic/Latino,Two or More Races,102630,White,Asian,Nonresident Alien,294279190,270843658,277965482,244707364,273674344,269066714,270486784,290292480,320879362,308883286,138109548
University of North Georgia,R3,,South,34.5285,-83.9849,1,1,162110,White,Hispanic/Latino,Black or African American,,,,,173133926,187922158,207492518,225251244,251565828,240587894,274266886,276723934,285944472,295310140,149002832
"California State University, San Marcos",R2,HSI,West,33.13,-117.16,1,0,138538,Hispanic/Latino,White,Asian,98272,White,Hispanic/Latino,Race/Ethnicity Unknown,215691704,222143648,270132674,231104710,251488654,281425600,307298920,316889276,363266846,398319064,177333048
University of Michigan-Dearborn,R2,,Midwest,42.318,-83.232,1,0,66962,White,Asian,Nonresident Alien,76006,White,Black or African American,Asian,227318000,273750000,259546000,268268000,271990000,281990000,301864000,286108000,323194000,339550000,170906000
Texas Womans University,R2,Women's College,South,33.2275,-97.1292,1,0,116956,White,Hispanic/Latino,Black or African American,109996,White,Black or African American,Hispanic/Latino,501028966,536516006,572200486,573215062,797378954,800407890,756387388,705173014,813407188,993525984,602506121
Winston-Salem State University,HBCU,R2,South,36.0917,-80.2264,1,0,45128,Black or African American,White,Hispanic/Latino,59818,White,Hispanic/Latino,Black or African American,97604446,88494254,87441584,83533784,79768356,94234478,100777580,98303518,123114444,162697438,98454154
University of Houston-Clear Lake,R3,HSI,South,29.5743,-95.1026,1,0,71618,Hispanic/Latino,White,Asian,59818,White,Hispanic/Latino,Black or African American,204695016,234774066,265301216,288296812,278398272,299225060,320597442,331917818,342899996,349001064,163470598
"California State Polytechnic University, Pomona",R2,HSI,West,34.0572,-117.8211,1,0,253384,Hispanic/Latino,Asian,White,205312,Hispanic/Latino,Asian,White,486572310,527820162,644658456,573443046,659029268,736670120,578915930,647487238,759495770,808860862,494661102
University of Texas Permian Basin,R3,HSI,South,31.8829,-102.3367,1,0,47566,Hispanic/Latino,White,Black or African American,32838,White,Hispanic/Latino,Black or African American,94934002,138732768,113641518,159220782,191639414,245563760,161356720,186812478,170990590,151611608,77965180
"Minnesota State University, Mankato",R2,,Midwest,44.1465,-93.0011,1,0,124514,White,Nonresident Alien,Black or African American,134338,White,Nonresident Alien,Black or African American,381206000,383440000,463936000,458704000,451226000,476672000,494352000,496688000,518540000,529924000,264863000
Tarleton State University,R2,,South,32.2153,-98.2179,1,0,122752,White,Hispanic/Latino,Black or African American,109472,White,Race/Ethnicity Unknown,Hispanic/Latino,212433268,240175492,242584728,266228170,248202724,274064086,292557036,340374800,394199442,435115324,208190408
Trinity University,Private,Liberal Arts,South,29.461,-98.4835,1,1,24446,White,Hispanic/Latino,Asian,22264,White,Hispanic/Latino,Asian,1868652938,2167965582,2292401020,2205222040,2415533440,2575439746,2712601638,2626448480,3523026180,3496718164,1709713566
North Dakota State University,R2,,Midwest,46.8914,-96.8008,1,1,95268,White,Nonresident Alien,Hispanic/Latino,108294,White,Nonresident Alien,Two or More Races,287177268,304558338,357644738,352564760,362679168,366091844,395202322,357404032,371885770,387977698,187764432
Southeastern Louisiana University,R3,,South,30.5225,-90.4675,1,0,112254,White,Black or African American,Hispanic/Latino,135038,White,Black or African American,Hispanic/Latino,264861608,222745060,260735862,211149254,276216188,280842040,268825428,288118330,272900362,274616184,128748877
The College of New Jersey,Liberal Arts,Public,Mid-Atlantic,40.2805,-74.7779,1,0,68788,White,Hispanic/Latino,Asian,64968,White,Hispanic/Latino,Asian,383984000,467422000,497310000,450586000,437216000,438144000,519266000,449480000,463930000,447396000,213732000
Appalachian State University,R2,,South,36.2146,-81.6805,1,0,184894,White,Hispanic/Latino,Two or More Races,157832,White,Hispanic/Latino,Black or African American,378540296,422716146,440863040,428418324,448191314,480692526,517508468,616890904,646375898,727577366,374027193
Grand Valley State University,R2,,Midwest,42.9632,-85.8882,1,0,190120,White,Hispanic/Latino,Black or African American,218226,White,Black or African American,Hispanic/Latino,710176328,729278638,784904252,818742388,858464122,915274376,1031114500,1065263558,968156742,1058395758,473447018
Texas Southern University,HBCU,R2,South,29.7216,-95.3568,1,0,70764,Black or African American,Hispanic/Latino,Two or More Races,78012,Black or African American,Hispanic/Latino,Nonresident Alien,274750364,244416556,266865930,320237320,486500118,528161160,462640636,405361442,412783252,446039018,364254549
Northern Arizona University,R2,HSI,West,35.1894,-111.6526,1,0,239962,White,Hispanic/Latino,Two or More Races,225614,White,Hispanic/Latino,Two or More Races,771153202,809358796,949846292,910384016,952032012,962628056,904594762,970339778,996910560,1024650328,477029890
University of Nebraska at Kearney,R3,,Midwest,40.7006,-99.081,1,0,47612,White,Hispanic/Latino,Nonresident Alien,59356,White,Nonresident Alien,Hispanic/Latino,152697590,153628340,172388578,163338864,169388338,166285558,176825740,170454878,174484414,172185506,100948689